City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,hirara,24.8,125.2833,301.3,94,75,7.2,JP,1686619227
212,usinsk,65.9939,57.5281,279.71,91,100,6.25,RU,1686618795
213,barranca,-10.75,-77.7667,293.16,81,24,6.19,PE,1686619227
214,isafjordur,66.0755,-23.124,281.28,79,7,3.43,IS,1686618770
215,levuka,50.1834,-105.4011,301.0,24,75,2.57,CA,1686619228
216,mhamid,29.82,-5.72,300.93,19,0,3.02,MA,1686618845
217,arno,60.1167,18.6333,284.7,65,18,4.07,SE,1686619229
218,puerto baquerizo moreno,-0.9,-89.6,299.17,81,24,5.45,EC,1686619229
219,toliara,-23.35,43.6667,291.8,84,3,2.47,MG,1686619230
220,buka,40.8108,69.1986,299.65,37,100,1.16,UZ,1686619230
221,kupang,-10.1667,123.5833,301.47,61,20,7.72,ID,1686619230
222,vilyuchinsk,52.9306,158.4028,295.3,47,0,1.97,RU,1686618762
223,northam,51.0333,-4.2167,288.52,97,22,0.59,GB,1686619230
224,tsengel,49.4783,100.8894,292.22,63,96,3.23,MN,1686619231
225,dudinka,69.4058,86.1778,280.72,69,93,2.73,RU,1686618700
226,serenje,-13.2325,30.2352,286.16,61,80,1.59,ZM,1686619231
227,elkhart,41.5823,-85.8344,289.14,54,0,2.06,US,1686618937
228,sanming,26.2486,117.6186,299.49,80,100,0.62,CN,1686619231
229,muyuka,4.2898,9.4103,297.93,94,100,0.86,CM,1686619232
230,new norfolk,-42.7826,147.0587,284.77,76,82,1.44,AU,1686618761
231,lillehammer,61.1146,10.4674,286.78,75,87,2.08,NO,1686619232
232,oriximina,-1.7656,-55.8661,298.01,90,15,1.68,BR,1686619232
233,tidjikja,18.5564,-11.4271,304.89,18,94,5.34,MR,1686619233
234,vorgashor,67.5833,63.95,279.02,60,99,4.59,RU,1686618765
235,iskateley,67.6803,53.1512,280.83,78,38,4.17,RU,1686618764
236,vila velha,-20.3297,-40.2925,297.12,88,40,4.12,BR,1686618830
237,port hedland,-20.3167,118.5667,296.18,25,75,7.72,AU,1686619234
238,kudahuvadhoo,2.6708,72.8944,301.77,76,89,6.03,MV,1686619235
239,mejit,10.2753,170.8646,301.07,80,58,8.55,MH,1686618836
240,borogontsy,62.6683,131.1683,283.01,52,100,1.93,RU,1686619235
241,jamestown,42.097,-79.2353,286.92,81,100,4.63,US,1686618749
242,usogorsk,63.4106,48.6872,285.41,84,100,3.51,RU,1686619236
243,la ronge,55.1001,-105.2842,293.29,45,100,3.09,CA,1686619236
244,akureyri,65.6835,-18.0878,281.11,81,0,2.57,IS,1686618870
245,crane,31.3974,-102.3501,309.49,10,0,6.63,US,1686618822
246,margate,51.3813,1.3862,289.09,77,1,2.24,GB,1686619039
247,lazaro cardenas,17.9583,-102.2,301.67,69,1,4.54,MX,1686619237
248,sola,-13.8833,167.55,299.98,76,20,7.6,VU,1686618809
249,burlington,39.8835,-74.6413,295.07,96,100,3.6,US,1686619237
250,kingscliff,-28.2667,153.5667,295.78,64,75,3.09,AU,1686619238
251,midvagur,62.0511,-7.1939,279.61,87,100,0.51,FO,1686618866
252,kikwit,-5.041,18.8162,294.85,94,84,0.64,CD,1686619238
253,hawaiian paradise park,19.5933,-154.9731,301.88,66,40,2.57,US,1686618765
254,tympaki,35.0729,24.7685,293.13,83,4,0.45,GR,1686619239
255,pionerskiy,54.9508,20.2275,285.23,60,91,3.61,RU,1686619239
256,itamaraca,-7.7478,-34.8256,299.18,85,21,5.51,BR,1686619239
257,chonchi,-42.6128,-73.8092,277.71,95,11,0.96,CL,1686618793
258,lorengau,-2.0226,147.2712,302.83,73,45,4.75,PG,1686618830
259,djambala,-2.5447,14.7533,293.33,92,64,1.24,CG,1686619240
260,kongolo,-5.3833,27.0,296.33,64,51,1.16,CD,1686619240
261,lubang,13.8584,120.124,302.15,78,50,8.87,PH,1686619240
262,prainha,-1.8,-53.48,296.52,97,6,1.31,BR,1686619241
263,utrik,11.2278,169.8474,300.87,81,22,8.19,MH,1686618755
264,castillos,-34.1667,-53.8333,281.85,73,94,3.12,UY,1686618754
265,quimili,-27.6333,-62.4167,282.46,33,100,3.3,AR,1686619241
266,mohammedia,33.7066,-7.3944,296.22,100,75,1.03,MA,1686619241
267,farkhor,37.4922,69.4036,298.55,41,60,1.5,TJ,1686619242
268,ciudad dario,12.7314,-86.124,298.2,87,63,1.77,NI,1686619242
269,jeddah,21.5169,39.2192,302.07,51,0,2.06,SA,1686619201
270,ar rahad,12.7167,30.65,302.86,51,93,3.48,SD,1686619242
271,matoury,4.8483,-52.3317,298.13,100,0,1.03,GF,1686618803
272,qaqortoq,60.7167,-46.0333,279.72,75,100,3.44,GL,1686618772
273,conduaga,8.862,117.4893,303.01,66,100,1.07,PH,1686619243
274,ironwood,46.4547,-90.171,284.34,100,40,1.54,US,1686619243
275,ancud,-41.8697,-73.8203,278.13,89,16,2.45,CL,1686619243
276,ormara,25.2088,64.6357,304.02,64,26,2.0,PK,1686619244
277,pangai,-19.8,-174.35,297.21,83,75,3.09,TO,1686618836
278,west bay,19.3667,-81.4167,302.59,78,20,4.63,KY,1686619244
279,fort mcmurray,56.7268,-111.381,293.92,49,0,1.03,CA,1686618828
280,namibe,-15.1961,12.1522,289.3,79,4,1.54,AO,1686618872
281,ifanadiana,-21.3,47.6333,287.92,80,4,1.86,MG,1686619244
282,acapulco de juarez,16.8634,-99.8901,304.05,74,40,3.09,MX,1686619245
283,tarawa,1.419,172.984,303.2,79,40,2.57,KI,1686619291
284,zelenogorskiy,55.0333,87.0,284.8,98,100,0.55,RU,1686619291
285,hailar,49.2,119.7,298.73,37,94,2.94,CN,1686619292
286,manta,-0.95,-80.7333,299.82,89,75,8.05,EC,1686619292
287,queenstown,-31.8976,26.8753,280.7,59,43,6.67,ZA,1686618882
288,nchelenge,-9.3451,28.734,292.27,60,42,2.45,ZM,1686619292
289,camacupa,-12.0167,17.4833,286.66,46,29,1.8,AO,1686619292
290,east london,-33.0153,27.9116,287.7,59,78,5.98,ZA,1686618769
291,nagqu,31.5,92.0,280.07,69,100,2.95,CN,1686619293
292,fale old settlement,-9.3852,-171.2468,301.64,77,8,6.44,TK,1686618801
293,bandarban,22.1965,92.2262,300.99,89,100,1.0,BD,1686619293
294,chibougamau,49.9168,-74.3659,292.94,56,0,3.09,CA,1686618821
295,greenville,35.6127,-77.3663,296.24,97,75,0.45,US,1686619294
296,san rafael del yuma,18.4299,-68.6739,301.91,83,4,3.54,DO,1686619294
297,san luis,-33.295,-66.3356,277.2,36,0,3.13,AR,1686619164
298,portland,45.5234,-122.6762,306.02,41,20,5.66,US,1686618526
299,acarau,-2.8856,-40.12,298.68,84,0,5.61,BR,1686618799
300,kushva,58.2906,59.7592,278.96,67,0,2.46,RU,1686619295
301,cam ranh,11.9214,109.1591,305.13,55,20,0.51,VN,1686619295
302,hamilton,39.1834,-84.5333,290.84,60,75,4.12,US,1686618665
303,puerto lempira,15.2667,-83.7667,301.02,81,42,4.47,HN,1686618798
304,leninskoye,41.7589,69.3864,299.36,33,100,1.89,KZ,1686619296
305,mahina,-17.5065,-149.489,301.02,65,40,4.63,PF,1686619296
306,diego de almagro,-26.3667,-70.05,280.59,82,0,0.85,CL,1686619296
307,whakatane,-37.9585,176.9854,290.31,58,2,3.58,NZ,1686618777
308,tiksi,71.6872,128.8694,274.85,97,100,2.43,RU,1686618476
309,petlawad,23.0,74.8,301.24,62,0,5.68,IN,1686619156
310,olinda,-8.0089,-34.8553,299.0,89,75,3.09,BR,1686619205
311,touros,-5.1989,-35.4608,297.59,88,2,4.56,BR,1686619150
312,copala,16.65,-98.9833,302.33,70,97,3.18,MX,1686618812
